date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:26	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Sep%202017%2012:24:14%20GMT	http://saebomm.com/robots.txt		(from )
21:24:27	6646/6646	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2012:24:14%20GMT	http://saebomm.com/0826lmwlhj/	E:/Download/test/saebomm.com/0826lmwlhj/index.html	(from )
21:24:33	93888/93888	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2020%20Sep%202017%2001:08:28%20GMT	https://developers.kakao.com/sdk/js/kakao.min.js	E:/Download/test/developers.kakao.com/sdk/js/kakao.min.js	(from http://saebomm.com/0826lmwlhj/)
21:24:45	282766/282766	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-4508e%22	http://code.jquery.com/jquery-latest.js	E:/Download/test/code.jquery.com/jquery-latest.js	(from http://saebomm.com/0826lmwlhj/)
21:24:53	51225/51225	---M--	200	added ('OK')	image/jpeg	etag:%2251c80fc-c819-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_03.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_03.jpg	(from http://saebomm.com/0826lmwlhj/)
21:25:02	53596/53596	---M--	200	added ('OK')	image/jpeg	etag:%2251c80fd-d15c-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_04.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_04.jpg	(from http://saebomm.com/0826lmwlhj/)
21:25:23	346144/346144	---M--	200	added ('OK')	image/jpeg	etag:%2251c80fa-54820-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_01.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_01.jpg	(from http://saebomm.com/0826lmwlhj/)
21:25:24	643/643	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2012:25:11%20GMT	http://saebomm.com/0826lmwlhj/gallery1.html	E:/Download/test/saebomm.com/0826lmwlhj/gallery1.html	(from http://saebomm.com/0826lmwlhj/)
21:25:31	435282/435282	---M--	200	added ('OK')	image/jpeg	etag:%2251c80f8-6a452-596dc386%22	http://www.saebomm.com/0826lmwlhj/img/bg.jpg	E:/Download/test/www.saebomm.com/0826lmwlhj/img/bg.jpg	(from http://saebomm.com/0826lmwlhj/)
21:25:32	5582/5582	---M--	200	added ('OK')	image/jpeg	etag:%2251c8100-15ce-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_07.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_07.jpg	(from http://saebomm.com/0826lmwlhj/)
21:25:56	519322/519322	---M--	200	added ('OK')	image/jpeg	etag:%2251c80fb-7ec9a-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_02.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_02.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:01	28837/28837	---M--	200	added ('OK')	image/jpeg	etag:%2251c8102-70a5-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_09.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_09.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:02	2348/2348	---M--	200	added ('OK')	image/jpeg	etag:%2251c8103-92c-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_10.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_10.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:02	2667/2667	---M--	200	added ('OK')	image/jpeg	etag:%2251c8104-a6b-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_11.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_11.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:03	379731/379731	---M--	200	added ('OK')	image/jpeg	etag:%2251c80fe-5cb53-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_05.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_05.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:03	2569/2569	---M--	200	added ('OK')	image/jpeg	etag:%2251c8105-a09-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_12.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_12.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:03	191626/191626	---M--	200	added ('OK')	image/jpeg	etag:%2251c8101-2ec8a-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_08.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_08.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:03	654/654	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2012:25:51%20GMT	http://saebomm.com/0826lmwlhj/gallery2.html	E:/Download/test/saebomm.com/0826lmwlhj/gallery2.html	(from http://saebomm.com/0826lmwlhj/)
21:26:03	2683/2683	---M--	200	added ('OK')	image/jpeg	etag:%2251c8106-a7b-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_13.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_13.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:05	10287/10287	---M--	200	added ('OK')	image/jpeg	etag:%2251c810b-282f-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_14.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_14.jpg	(from http://saebomm.com/0826lmwlhj/)
21:26:20	382422/382422	---M--	200	added ('OK')	image/jpeg	etag:%2251c80ff-5d5d6-596dc387%22	http://saebomm.com/0826lmwlhj/img/img_06.jpg	E:/Download/test/saebomm.com/0826lmwlhj/img/img_06.jpg	(from http://saebomm.com/0826lmwlhj/)
